Company_Name,Age_group,First_trading_date_on_NSE,NSE_symbol,BSE_scrip_id,NSE_suspended_from_date,First_trading_date_on_BSE,NSE_suspended_to_date,BSE_suspended_from_date,BSE_suspended_to_date,Date_of_delisting_from_BSE,Promoters_In_nos__Shares_held,Promoters_In_nos__Pledged_Shares,Indian_Promoters_In_nos__Shares_held,Foreign_Promoters_In_nos__Shares_held,Total_Shares_In_%__Shares_held,Total_Shares_In_%__Pledged_Shares,Promoters_In_%__Shares_held,Promoters_In_%__Pledged_Shares,Indian_Promoters_In_%__Shares_held,Indian_Promoters_In_%__Pledged_Shares,Foreign_Promoters_In_%__Shares_held,Foreign_Promoters_In_%__Pledged_Shares,AIS_DATE_L3,QIS_DATE_L3,AIS_Net__sales_L3,QIS_Net__sales_L3,AIS_L3_Net_ProfitLossafter_tax,QIS_L3_Net_ProfitLossafter_tax,AIS_DATE_L2,QIS_DATE_L2,QIS_Net__sales_L2,AIS_Net__sales_L2,QIS_L2_Net_ProfitLossafter_tax,AIS_L2_Net_ProfitLossafter_tax,QIS_DATE_L1,AIS_DATE_L1,AIS_Net__sales_L1,QIS_Net__sales_L1,QIS_L1_Net_ProfitLossafter_tax,AIS_L1_Net_ProfitLossafter_tax,QIS_DATE_L,AIS_DATE_L,AIS_Net__sales_L,QIS_Net__sales_L,AIS_L_Net_ProfitLossafter_tax,QIS_L_Net_ProfitLossafter_tax,AFC_Sales,AFS_Sales,AFS_Income_from_financial_services,AFC_Income_from_financial_services,AFC_Interest_income,AFS_Interest_income,AFS_Dividend_income,AFC_Dividend_income,AFC_Total_expenses,AFS_Total_expenses,AFC_Profit_after_tax,AFS_Profit_after_tax,AFS_Total_liabilities,AFC_Total_liabilities,AFC_Total_capital,AFS_Total_capital,AFC_Reserves_and_funds,AFS_Reserves_and_funds,AFC_Noncurrent_liabilities,AFS_Noncurrent_liabilities,AFS_Long_term_borrowings,AFC_Long_term_borrowings,AFC_Current_liabilities_&_provisions,AFS_Current_liabilities_&_provisions,AFS_Total_assets,AFC_Total_assets,AFC_Net_fixed_assets,AFS_Net_fixed_assets,AFC_Long_term_investments,AFS_Long_term_investments,AFC_Long_term_loans_&_advances,AFS_Long_term_loans_&_advances,AFC_Other_long_term_assets,AFS_Other_long_term_assets,AFS_Current_assets,AFC_Current_assets,AFC_Short_term_investments,AFC_Short_term_investments,AFS_Short_term_inventories,AFC_Short_term_inventories,AFS_Cash_balance,AFC_Cash_balance,AFC_Bank_balance_short_term,AFS_Bank_balance_short_term,AFC_Net_cash_flow_from_operating_activities,AFS_Net_cash_flow_from_operating_activities,AFC_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFC_Net_cash_inflow_or_outflow,AFC_Cash_and_cash_equivalent,AFS_Cash_and_cash_equivalent,BSE_Closing_Price_INR,Market_Capitalisation_CR,NSE_Date_,Beta,NSE_Closing_Price_INR,BSE_Face_Value_INR_,BSE_EPS_INR,NSE_Shares_Outstanding_,Alpha,NSE_Face_Value_INR,BSE_Consolidated_EPS_INR,NSE_EPS_INR,BSE_Cash_EPS_INR,NSE_Consolidated_EPS_INR,BSE_Consolidated_Cash_EPS_INR,NSE_Cash_EPS_INR,BSE_PE_,BSE_PB_,NSE_Consolidated_Cash_EPS,BSE_Enterprise_value,NSE_PE_,NSE_PB_,BSE_Market_Capitalisation__Enterprise_Value,BSE_Enterprise_Value__PBDITA,NSE_Enterprise_value,NSE_Market_Capitalisation__Enterprise_Value,NSE_Enterprise_Value__PBDITA
7Seas Entertainment Ltd.,After 1991,,,7SEASL,,27-09-2010,,21-01-2020,14-06-2021,,6109764,,6109764,,100,,40.37,,40.37,,0,,31-03-2020,30-09-2022,0.05,1.62,-1.55,0.19,31-03-2021,31-12-2022,1.71,0.02,0.17,1.78,31-03-2023,31-03-2022,0.52,1.08,0.08,0.02,30-06-2023,31-03-2023,5.52,2.75,0.53,0.25,12.49,5.52,0.04,,,0.04,,,12.67,5.13,-0.17,0.43,3.25,32.11,8.97,15.14,16.21,-16.03,2.74,0.1,,1.54,4.19,4.04,3.25,32.11,20.34,1.11,,,,,,,1.79,11.77,,,,0.85,0.03,,0.15,0.4,5.5,0.51,-9.49,-1.36,-0.44,3.54,0.15,0.44,27.61,51.52,,1.12,,10,0.31,,0.3,,,,0.39,,,,88.83,7.01,,55.07,,,0.94,82.19,,,
A & M Jumbo Bags Ltd.,After 1991,12-02-2018,AMJUMBO,,27-03-2023,,,,,,217400,,217400,0,100,,2.07,,2.07,,0,,31-03-2019,,7.93,,1.15,,31-03-2020,,,5.83,,0,,31-03-2021,2.69,,,0.03,,31-03-2022,0.08,,-0.23,,5.92,0.42,,0.23,0.23,,,,6.29,0.41,0,-0.22,18.17,18.99,10.33,10.5,0.17,0.01,3.83,4.91,4.91,3.81,4.66,2.75,18.17,18.99,4.01,4.05,,2,4.86,8.33,5.16,0.36,3.39,4.93,,,1.76,2.24,0.27,0.21,0.01,,5.36,,-4.89,,,-0.71,0.23,,,21.37,24-03-2023,0.11,20.35,,,10500000,-0.22,10,,-0.4,,-0.4,,-0.33,,,-0.33,,,2.04,,,27.75,0.77,0
A 2 Z Infra Engg. Ltd.,After 1991,23-12-2010,A2ZINFRA,A2ZINFRA,,23-12-2010,,,,,49560983,49550601,49560983,,100,28.13,28.14,99.98,28.14,99.98,,,31-03-2020,30-09-2022,385.23,20.66,-290.89,-4.8,31-03-2021,31-12-2022,14.89,187.85,-0.99,-83.14,31-03-2023,31-03-2022,136.01,14.8,-83.95,-172.24,30-06-2023,31-03-2023,69.59,18.65,-91.54,0.14,353.62,136.05,4.82,10.62,10.27,4.47,,,539.26,452.61,-165.67,-172.24,1447.3,1692.68,174.39,176.12,-21.61,-69.01,91.64,85.79,44.99,14.1,1448.26,1254.4,1447.3,1692.68,106.74,42.34,156.37,233.37,64.98,30.15,23.34,12.38,1057.38,1226.12,,,,4.51,0.01,0.3,10.19,2.08,38.13,22.05,24.92,23.24,-47.52,-67.85,9.12,2.08,10.21,179.29,15-09-2023,1.58,10.15,10,-8.63,176119858,-0.4,10,-10.42,-8.63,-8.41,-10.42,-9.97,-8.41,,11.45,-9.97,536.7,,11.39,0.34,3.99,535.64,0.33,3.99
A A A Technologies Ltd.,After 1991,27-10-2020,AAATECH,AAATECH,,28-11-2022,,,,,9172800,,9172800,,100,,71.51,,71.51,,0,,31-03-2020,30-09-2022,14.16,3.66,3.69,0.98,31-03-2021,31-12-2022,4.35,11.02,0.76,1.14,31-03-2023,31-03-2022,14.4,11.99,0.8,2.34,30-06-2023,31-03-2023,23,3.39,2.87,0.62,,23,0.47,,,0.46,,,,20.65,,2.87,27.67,,,12.83,,12.56,,0.03,,,,2.25,27.67,,,2.02,,,,,,,25.65,,,,,,0.01,,,12.83,,4.9,,-8.28,-0.43,,,1.88,61.37,78.67,15-09-2023,0.89,61.3,10,2.42,12826800,0.27,10,,2.42,2.71,,,2.71,25.39,3.1,,65.88,25.36,3.1,1.19,15.54,65.79,1.2,15.52
A A Plus Tradelink Ltd.,After 1991,,,AAPLUSTRAD,,22-07-2021,,,,,2676400,,2676400,,100,,32.78,,32.78,,0,,,,,,,,31-03-2021,,,8.73,,0.13,,31-03-2022,10.7,,,0.19,,31-03-2023,16.32,,0.21,,,10.57,0.97,,,0.84,,,,11.35,,0.19,19.7,,,8.16,,4.57,,,,,,6.97,19.7,,,0.03,,,,,,,19.67,,,,,,0.07,,,0.27,,-9.24,,0.83,8.73,,,0.34,11.95,9.76,,,,10,0.29,,,,,,0.29,,,,40.65,0.75,,12.81,,,0.76,28.46,,,
A B B India Ltd.,Before 1950,03-11-1994,ABB,ABB,,02-01-1981,,,,,158931281,,,158931281,100,,75,,0,,75,,31-12-2019,30-09-2022,7315.06,2119.74,302.23,202.5,31-12-2020,31-12-2022,2426.91,5820.95,305.91,230.44,31-03-2023,31-12-2021,6934,2411.21,245.17,532.49,30-06-2023,31-12-2022,8567.53,2508.63,1025.61,295.81,8047.96,8567.53,120.73,5.7,5.7,120.73,,,7938.23,8225.62,140.94,1016.23,9612.36,6964.65,42.38,42.38,2559.26,4897.03,360.1,270.03,21.03,,4002.91,4402.92,9612.36,6964.65,1233.79,899.17,16.56,,135.45,366.5,345.36,200.36,7951.18,4991.58,0.08,477.11,1420.66,933.37,36.86,67.48,19.36,3104.22,-44.2,741.94,-339.57,1826.22,-140.15,210.48,85.32,3146.86,4380.6,92815.87,15-09-2023,0.76,4379.4,2,44.85,211908375,0.31,2,,44.85,50.06,,,50.06,97.68,17.69,,89720.59,97.65,17.69,1.03,56.65,89695.16,1.03,56.63
A B C Gas (International) Ltd.,Between 1972 and 1985,,,ABCGAS,,11-11-1986,,11-07-2012,17-07-2012,,581537,,581537,,100,,29.37,,29.37,,0,,31-03-2020,30-09-2022,1.16,,-0.26,2.86,31-03-2021,31-12-2022,,0.42,-0.32,-0.41,31-03-2023,31-03-2022,1.54,,-0.41,0.25,30-06-2023,31-03-2023,0.02,,2.09,-0.09,,1.89,,,,,,,,2.86,,0.25,8.42,,,1.98,,-0.32,,,,,,6.76,8.42,,,0.14,,0.08,,0.01,,,8.19,,,,0.36,,0.02,,,0.04,,1.83,,-0.33,-1.53,,,0.06,53.86,10.66,,0.41,,10,-21.31,,0.43,,,,-21.11,,,,,2.95,,10.71,,,1,9.92,,,
A B C India Ltd.,Between 1972 and 1985,,,ABCINDQ,,10-06-1994,,,,,3504148,,3504148,,100,,64.69,,64.69,,0,,31-03-2020,30-09-2022,220.73,33.99,4.27,0.79,31-03-2021,31-12-2022,34.81,167.23,0.6,2.47,31-03-2023,31-03-2022,134.77,37,1.96,2.73,30-06-2023,31-03-2023,145.17,36.21,4.26,0.77,164.01,134.77,0.54,0.38,0.36,0.53,0.01,0.02,178.35,132.97,0.42,2.73,90.32,134.94,5.41,5.41,44.14,31.99,16.72,9.52,6.06,10.98,68.67,43.4,90.32,134.94,52.66,8.16,0.11,8.37,3.3,0.47,,1.62,71.26,78.87,,13.35,0.86,0.46,0.93,1.45,2.66,0.59,4.71,-2.58,19.44,3.58,-1.23,-24.82,4.12,1.53,95.99,52,,0.84,,10,4.26,,-0.13,,,,6.31,,,,22.51,1.23,,68.55,,,0.76,11.06,,,
A B Cotspin India Ltd.,After 1991,25-01-2022,ABCOTS,,,,,,,,3593340,,3593340,0,100,,34.91,,34.91,,0,,,,,,,,31-03-2021,,,115.36,,3.88,,31-03-2022,140.69,,,6.83,,31-03-2023,169.1,,1.93,,,140.36,0.12,,,0.12,,,,137.71,,6.83,82.81,,,10.49,,28.33,,24.04,22.55,,,19.95,82.81,,,22.7,,0.01,,2.65,,0.01,38.5,,,,18.43,,0.6,,,7.6,,21.09,,-22.68,2.18,,,0.66,,97.78,15-09-2023,,95,,,10292200,,10,,1.94,,,,6.72,,,,,48.89,2.41,,,120.13,0.81,8.27
A B Infrabuild Ltd.,After 1991,26-07-2019,ABINFRA,,,,,,,,7511376,,7511376,0,100,,59.29,,59.29,,0,,31-03-2020,,63.62,,2.6,,31-03-2021,,,61.78,,-2.23,,31-03-2022,64.32,,,0.86,,31-03-2023,123.09,,7.54,,,64.32,0.24,,,0.24,,,,60.38,,0.94,106.64,,,12.67,,15.12,,6.39,6.39,,,72.46,106.64,,,2.24,,0.18,,,,1.97,100.83,,,,45.87,,0.15,,,2.2,,0.25,,-0.77,0.75,,,2.34,,142.16,15-09-2023,0.48,32.15,,,44217447,0.29,10,,1.26,,,,1.42,,,,,25.61,2.05,,,167.95,0.85,25.56
