Company_Name,Age_group,First_trading_date_on_NSE,NSE_symbol,BSE_scrip_id,NSE_suspended_from_date,First_trading_date_on_BSE,NSE_suspended_to_date,BSE_suspended_from_date,BSE_suspended_to_date,Date_of_delisting_from_BSE,Promoters_In_nos__Shares_held,Promoters_In_nos__Pledged_Shares,Indian_Promoters_In_nos__Shares_held,Foreign_Promoters_In_nos__Shares_held,Total_Shares_In_%__Shares_held,Total_Shares_In_%__Pledged_Shares,Promoters_In_%__Shares_held,Promoters_In_%__Pledged_Shares,Indian_Promoters_In_%__Shares_held,Indian_Promoters_In_%__Pledged_Shares,Foreign_Promoters_In_%__Shares_held,Foreign_Promoters_In_%__Pledged_Shares,AIS_DATE_L3,QIS_DATE_L3,AIS_Net__sales_L3,QIS_Net__sales_L3,AIS_L3_Net_ProfitLossafter_tax,QIS_L3_Net_ProfitLossafter_tax,AIS_DATE_L2,QIS_DATE_L2,QIS_Net__sales_L2,AIS_Net__sales_L2,QIS_L2_Net_ProfitLossafter_tax,AIS_L2_Net_ProfitLossafter_tax,QIS_DATE_L1,AIS_DATE_L1,AIS_Net__sales_L1,QIS_Net__sales_L1,QIS_L1_Net_ProfitLossafter_tax,AIS_L1_Net_ProfitLossafter_tax,QIS_DATE_L,AIS_DATE_L,AIS_Net__sales_L,QIS_Net__sales_L,AIS_L_Net_ProfitLossafter_tax,QIS_L_Net_ProfitLossafter_tax,AFC_Sales,AFS_Sales,AFS_Income_from_financial_services,AFC_Income_from_financial_services,AFC_Interest_income,AFS_Interest_income,AFS_Dividend_income,AFC_Dividend_income,AFC_Total_expenses,AFS_Total_expenses,AFC_Profit_after_tax,AFS_Profit_after_tax,AFS_Total_liabilities,AFC_Total_liabilities,AFC_Total_capital,AFS_Total_capital,AFC_Reserves_and_funds,AFS_Reserves_and_funds,AFC_Noncurrent_liabilities,AFS_Noncurrent_liabilities,AFS_Long_term_borrowings,AFC_Long_term_borrowings,AFC_Current_liabilities_&_provisions,AFS_Current_liabilities_&_provisions,AFS_Total_assets,AFC_Total_assets,AFC_Net_fixed_assets,AFS_Net_fixed_assets,AFC_Long_term_investments,AFS_Long_term_investments,AFC_Long_term_loans_&_advances,AFS_Long_term_loans_&_advances,AFC_Other_long_term_assets,AFS_Other_long_term_assets,AFS_Current_assets,AFC_Current_assets,AFC_Short_term_investments,AFC_Short_term_investments,AFS_Short_term_inventories,AFC_Short_term_inventories,AFS_Cash_balance,AFC_Cash_balance,AFC_Bank_balance_short_term,AFS_Bank_balance_short_term,AFC_Net_cash_flow_from_operating_activities,AFS_Net_cash_flow_from_operating_activities,AFC_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFC_Net_cash_inflow_or_outflow,AFC_Cash_and_cash_equivalent,AFS_Cash_and_cash_equivalent,BSE_Closing_Price_INR,Market_Capitalisation_CR,NSE_Date_,Beta,NSE_Closing_Price_INR,BSE_Face_Value_INR_,BSE_EPS_INR,NSE_Shares_Outstanding_,Alpha,NSE_Face_Value_INR,BSE_Consolidated_EPS_INR,NSE_EPS_INR,BSE_Cash_EPS_INR,NSE_Consolidated_EPS_INR,BSE_Consolidated_Cash_EPS_INR,NSE_Cash_EPS_INR,BSE_PE_,BSE_PB_,NSE_Consolidated_Cash_EPS,BSE_Enterprise_value,NSE_PE_,NSE_PB_,BSE_Market_Capitalisation__Enterprise_Value,BSE_Enterprise_Value__PBDITA,NSE_Enterprise_value,NSE_Market_Capitalisation__Enterprise_Value,NSE_Enterprise_Value__PBDITA
Balmer Lawrie & Co. Ltd.,Before 1950,15-12-1994,BALMLAWRIE,BALMLAWRIE,,26-07-1990,,,,,,,,,100,,,,0,,0,,31-03-2020,30-09-2022,1529.73,548.38,177.17,26.11,31-03-2021,31-12-2022,511.12,1522.1,27.38,116.45,31-03-2023,31-03-2022,2042.45,605.74,58.84,122.81,30-06-2023,31-03-2023,2309.98,588.68,153.86,45.36,2321.49,2309.97,53.97,17.28,15.41,15.65,36.48,0.04,2282.89,2260.87,106.88,153.86,2177.95,2735.93,202.27,171,1509.74,1185.24,348.25,150.66,22.13,104.75,675.67,671.05,2177.95,2735.93,759.31,583.98,518.73,130.83,14.3,13.72,0.38,0.38,1381.23,1375.4,,,207.68,207.68,0.01,0.01,447.83,447.82,207.78,169.08,-48.28,-22.28,-133.65,-147.08,60.1,60.09,168.9,2889.11,15-09-2023,0.95,169,10,7.4,171003846,-0.12,10,8.3,7.4,10.16,8.3,11.66,10.16,22.83,2.06,11.66,2472.86,22.85,2.06,1.17,8.33,2474.57,1.17,8.34
Balmer Lawrie Invsts. Ltd.,After 1991,,,BLIL,,13-01-2003,,,,,13246098,,13246098,,100,,59.67,,59.67,,0,,31-03-2020,30-09-2022,86.89,70.27,83.58,69.71,31-03-2021,31-12-2022,1.98,86.9,1.27,84.62,31-03-2023,31-03-2022,69.3,2.44,1.59,66.62,30-06-2023,31-03-2023,76.08,2.21,73.42,1.46,2054.87,,69.3,24.67,23.63,5.89,63.41,0.02,2017.55,2.8,92.66,66.62,169.91,2614.79,656.47,22.2,1094.28,137.76,296.79,,,108.07,567.25,9.95,169.91,2614.79,767.37,,436.88,,15.87,,0.44,,,1383.42,,,,204.37,,0.02,540.59,,23.37,66.2,136.97,18.29,-84.35,-148.1,48.19,0.52,480.3,1066.13,,0.57,,10,33.36,,0.02,,50.58,,33.36,,76.52,,14.4,6.34,,941.78,,,1.13,13.75,,,
Balrampur Chini Mills Ltd.,Between 1972 and 1985,15-03-1995,BALRAMCHIN,BALRAMCHIN,,18-10-1994,,,,,86545753,,86545753,,100,,42.9,,42.9,,0,,31-03-2020,30-09-2022,4741.29,1113.1,509.28,-31.28,31-03-2021,31-12-2022,981.16,4811.66,44.41,469.77,31-03-2023,31-03-2022,4846.03,1491.53,250.79,514.66,30-06-2023,31-03-2023,4665.86,1389.62,275.53,69.33,4702.34,4702.67,11.28,11.28,0.84,0.84,,,4480.09,4477.1,272.54,275.53,6157.5,6183.82,20.17,20.17,2875.42,2855.28,1323.71,1317.51,429.58,429.58,1964.52,1964.54,6157.5,6183.82,2598.59,2598.59,201.35,175,769.03,769.03,1.82,1.82,2577.86,2577.83,61.25,61.25,2318.79,2318.77,0.29,0.29,11.61,11.61,452.92,452.93,-858.76,-858.76,405.82,405.83,0.31,0.31,441.75,8911.77,15-09-2023,1.08,441.7,1,16.7,201749245,0.63,1,17.28,16.7,23.73,17.28,24.31,23.73,26.45,3.08,24.31,10780.32,26.45,3.08,0.83,18.25,10779.31,0.83,18.24
Balu Forge Inds. Ltd.,Between 1986 and 1990,,,BALUFORGE,,27-09-1995,,05-11-2014,21-04-2015,,54526060,,54526060,,100,,56.16,,56.16,,,,31-03-2020,30-09-2022,0.2,56.58,0.04,4.44,31-03-2021,31-12-2022,73.69,142.09,8.3,7.62,31-03-2023,31-03-2022,285.06,83.5,11.59,30.44,30-06-2023,31-03-2023,269.06,69.62,31.99,10.31,285.45,284.43,8.52,8.52,0.51,0.51,,,275.13,271.98,29.84,30.44,343.67,343.21,83.36,83.36,75.26,75.87,8.96,8.96,7.92,7.92,175.63,175.48,343.67,343.21,42.37,42.36,,0.32,0.79,0.79,,,293.28,293.13,,,40.8,42.33,0.22,0.22,6.9,6.85,-57.74,-57.47,-7.22,-7.54,68.51,68.51,5.92,5.87,202.3,2085.55,,0.46,,10,3.51,,0.36,,4.83,,3.63,,4.97,,57.56,7.33,,2125.88,,,0.98,45.19,,,
Balurghat Technologies Ltd.,After 1991,12-05-1995,BALURTRANS,BALTE,,12-09-1994,,,,,6121416,,6121416,,100,,33.63,,33.63,,0,,31-03-2020,30-09-2022,98.44,16.28,1.95,0.48,31-03-2021,31-12-2022,16.51,92.46,0.5,-0.91,31-03-2023,31-03-2022,61.59,16.87,0.2,0.99,30-06-2023,31-03-2023,64.49,19.7,1.36,0.66,,64.49,0.32,,,0.31,,,,63.49,,1.36,28.44,,,17.41,,-4.59,,4.53,3.45,,,11.09,28.44,,,3.84,,0.51,,0.56,,,23.53,,,,,,0.33,,,5.18,,3.95,,-1.37,-2.12,,,5.51,16,15.83,08-12-1998,1.03,1.4,10,0.99,18200000,0.63,10,,0.11,1.18,,,0.46,16.18,2.13,,35.09,12.74,0.12,0.83,9.97,6.16,0.41,2.22
Bambino Agro Inds. Ltd.,Between 1972 and 1985,,,BAMBINO,,02-03-1994,,,,,6003575,,6003575,,100,,74.96,,74.96,,0,,31-03-2020,30-09-2022,247.91,94.81,8.32,4.04,31-03-2021,31-12-2022,73.91,278.6,1.77,8.62,31-03-2023,31-03-2022,257.32,71.12,0.64,8.85,30-06-2023,31-03-2023,303.2,76.76,9.21,3.18,,257.54,0.1,,,0.06,,,,247.2,,8.85,191.95,,,8.01,,67.65,,64.95,58.92,,,51.34,191.95,,,54.68,,1.95,,,,,98.8,,,,72.04,,0.05,,,4.69,,30.47,,-17.68,-10.9,,,4.73,323.65,259.21,,0.77,,10,12.01,,0.17,,,,17.02,,,,26.94,2.99,,341.13,,,0.76,14.05,,,
Bampsl Securities Ltd.,After 1991,,,BAMPSL,,15-04-1996,,05-12-2017,15-01-2018,,3686588,,3686588,,100,,10.83,,10.83,,0,,31-03-2020,30-09-2022,1.91,0.3,-0.48,0.13,31-03-2021,31-12-2022,0.85,0.55,0.04,0.02,31-03-2023,31-03-2022,0.51,2.5,0.33,0.2,30-06-2023,31-03-2023,3.68,4.25,0.43,-0.06,,2.98,0.13,,,0.14,,,,3.25,,0.43,38,,,34.04,,3.67,,,,,,0.29,38,,,0.31,,,,,,,,,,,,,,,,,,-0.15,,0.14,,,,,9.81,33.39,,0.72,,10,-0.04,,0.87,,,,-0.04,,,,,0.89,,33.39,,,1,63,,,
Banaras Beads Ltd.,Between 1972 and 1985,13-07-1995,BANARBEADS,BANARBEADS,21-02-2001,25-04-1995,18-12-2011,17-02-2003,18-08-2011,,3858375,,3858375,,100,,58.14,,58.14,,0,,31-03-2020,30-09-2022,25.78,8.53,2.34,1.02,31-03-2021,31-12-2022,2.96,20.47,0.27,2.39,31-03-2023,31-03-2022,25.12,8.81,0.57,2.92,30-06-2023,31-03-2023,26.97,6.22,2.54,0.45,,27.25,1.29,,,0.86,0.01,,,28.84,,2.52,55.91,,,6.62,,46.22,,0.51,,,,2.56,55.91,,,8.72,,3.02,,0.11,,12.69,31.12,,,0.01,21.76,,0.25,,,0.86,,-4.45,,0.96,-7.62,,,1.11,92.05,60.79,15-09-2023,0.86,91.15,10,3.18,6636222,0.2,10,,3.18,5.12,,,5.12,28.95,1.15,,47.74,28.67,1.13,1.28,8.73,47.14,1.28,8.62
Banas Finance Ltd.,Between 1972 and 1985,,,BANASFN,,06-05-1985,,29-08-2017,21-09-2017,,8450788,,8450788,,100,,17.59,,17.59,,0,,31-03-2020,30-09-2022,6.2,2.1,1.77,-21.13,31-03-2021,31-12-2022,3.01,14.44,-6.42,11.22,31-03-2023,31-03-2022,97.57,7.13,30.04,69.37,30-06-2023,31-03-2023,20.17,11.09,-54.76,5.95,,,6.79,6.79,4.11,4.11,0.03,0.03,62.25,62.25,-54.76,-54.76,161.28,161.94,48.05,48.05,104.44,103.78,,,,,2.94,2.94,161.28,161.94,0.03,0.03,,,,,,,,,,,,,0.05,0.05,,,-0.83,-0.83,-49.19,-49.19,44.32,44.32,5.5,5.5,15.61,75,,0.34,,10,1.76,,0.93,,2.15,,1.76,,2.15,,8.89,0.48,,76.41,,,0.98,13.87,,,
Banco Products (India) Ltd.,Between 1951 and 1971,04-10-1995,BANCOINDIA,BANCOINDIA,,02-03-1987,,,,,48549992,,2405104,46144888,100,,67.88,,3.36,,64.52,,31-03-2020,30-09-2022,598.38,260.8,69.52,133.85,31-03-2021,31-12-2022,237.01,653.61,33.02,80.04,31-03-2023,31-03-2022,795.21,254.36,44.91,85.66,30-06-2023,31-03-2023,1003.79,272.36,245.54,110.34,2331.82,1013.7,130.68,3.96,1.91,1.27,117.34,,2336.84,918.15,235.58,245.55,846.95,1887.69,14.3,14.3,987.2,716.41,232,16.82,,147.07,654.19,99.42,846.95,1887.69,359.05,150.08,,155.35,8.36,18.91,13.14,9.05,508.53,1459.52,,,248.69,994.9,0.04,0.06,18.27,16,-41.45,68.04,-23.38,126.89,-200.6,58.71,6.79,5.51,484.25,3465.44,15-09-2023,1.05,484.85,2,44.39,71518650,0.12,2,37.29,44.39,47.36,37.29,45.68,47.36,10.91,4.68,45.68,3440.8,10.92,4.68,1.01,11.26,3445.09,1.01,11.27
Bandaram Pharma Packtech Ltd.,After 1991,,,BANDARAM,,23-09-1994,,11-10-2019,14-11-2022,,9000000,,9000000,,100,,75,,75,,0,,31-03-2018,30-09-2022,,,-1.16,-0.01,31-03-2021,31-12-2022,1.12,,0.09,,31-03-2023,31-03-2022,,8.98,0.25,-0.01,30-06-2023,31-03-2023,10.09,4.1,0.2,0.06,18.91,10.09,,,,,,,18.66,9.89,0.26,0.2,8.27,20.19,5.05,3,0.08,0.07,7.7,4.41,4.41,7.65,7.36,0.79,8.27,20.19,5.03,0.02,,2.51,0.07,,0.02,,5.74,15.07,,,0.55,2.71,,,0.16,0.09,-1.1,-3.86,-5.3,-2.54,4.41,4.47,0.16,0.09,27.84,33.41,,-0.34,,10,0.32,,3.08,,0.4,,0.32,,0.99,,87.92,2.76,,37.73,,,0.89,117.9,,,
Bandhan Bank Ltd.,After 1991,27-03-2018,BANDHANBNK,BANDHANBNK,,27-03-2018,,,,,644115857,,644115857,,100,,39.99,,39.99,,,,31-03-2020,30-09-2022,10885.49,3773.45,3023.74,209.27,31-03-2021,31-12-2022,3807.64,12524.21,290.57,2205.46,31-03-2023,31-03-2022,13871.56,4268.25,808.29,125.79,30-06-2023,31-03-2023,15904.7,4522.91,2194.63,721.05,,,17449.14,,,15904.7,,,,18740.55,,2194.64,156029.54,,,1610.84,,17973.33,,,,,,3405.69,156029.54,,,508.92,,,,,,,,,,,,,1222.39,,,,,-4244.62,,-1617.94,4791.26,,,8247.5,249.35,40167.76,15-09-2023,1.51,249.35,10,-2.17,1610898768,-0.42,10,,-2.17,-1.28,,,-1.28,,2,,56628.85,,2,0.71,3.44,56628.85,0.71,3.44
Bang Overseas Ltd.,After 1991,20-02-2008,BANG,BANG,,20-02-2008,,,,,9896384,,9896384,,100,,72.98,,72.98,,0,,31-03-2020,30-09-2022,98.46,28.9,7.15,0.01,31-03-2021,31-12-2022,32.82,56.59,0.14,1.25,31-03-2023,31-03-2022,80.38,35.11,0.09,4.6,30-06-2023,31-03-2023,122.43,29.64,1.2,-0.99,116.95,121.78,2.57,2.6,1.24,1.21,,,133.19,135.91,1.15,1.2,152,166.33,13.56,13.56,84.12,74.26,9.15,9.14,6.47,6.48,59.5,55.04,152,166.33,17.85,17.82,0.5,0.92,21.37,21.19,,,111.78,126.18,,,36.8,47.48,0.07,0.12,3.7,3.19,10.58,11.4,-15.54,-15.39,3.42,4.37,0.28,0.18,47.5,64.21,15-09-2023,1.05,47.2,10,-0.58,13560000,0.21,10,-0.8,-0.58,0.42,-0.8,0.21,0.42,,0.74,0.21,93.02,,0.74,0.69,14.63,92.61,0.69,14.56
Bangalore Fort Farms Ltd.,Between 1951 and 1971,,,BFFL,,05-05-2015,,,,,1595693,,1595693,,100,,33.25,,33.25,,0,,31-03-2020,30-09-2022,19.06,2.09,0.51,0.03,31-03-2021,31-12-2022,7.53,20.19,-0.03,0.16,31-03-2023,31-03-2022,22.36,9.44,-0.08,0.15,30-06-2023,31-03-2023,24.46,4.59,0.17,0.01,,22.64,0.07,,,0.04,,,,22.4,,0.15,13.74,,,4.8,,2.49,,0.94,0.93,,,5.51,13.74,,,2.11,,,,0.53,,,11.09,,,,3.42,,0.01,,,1.09,,0.22,,0.23,0.53,,,1.09,19.99,9.59,,-0.06,,10,0.23,,0.25,,,,0.58,,,,87.22,1.29,,12.34,,,0.78,14.35,,,
Bank Of Baroda,Before 1950,26-02-1997,BANKBARODA,BANKBARODA,,24-02-1997,,,,,3308184689,,3308184689,,100,,63.97,,63.97,,,,31-03-2020,30-09-2022,75983.65,21254.23,546.18,3313.42,31-03-2021,31-12-2022,23540.14,70495.06,3852.74,828.95,31-03-2023,31-03-2022,69880.78,25856.68,4775.33,7272.28,30-06-2023,31-03-2023,89588.54,26555.81,14109.62,4070.07,,,95285.98,106448.44,94138.61,89588.54,287.47,,98686.9,87328.85,14687.88,14109.62,1458561.53,1525878.97,2030.12,1035.53,104019.18,97187.35,,,,,77229.39,54740.38,1458561.53,1525878.97,9786.81,8706.56,,,,,,,,,,,,,3794.81,3932.47,,,-21270.55,-19663.75,-1096.26,-1562.79,-5725.21,-5488.4,102373.39,95703.24,210.8,109012.31,15-09-2023,1.53,210.8,2,31.54,5171362179,-0.08,2,27.04,31.54,35.32,27.04,30.98,35.32,6.68,1.16,30.98,115219.57,6.68,1.16,0.95,1.47,115219.57,0.95,1.47
Bank Of India,Before 1950,07-05-1997,BANKINDIA,BANKINDIA,,05-05-1997,,,,,3340861720,,3340861720,,100,,81.41,,81.41,,0,,31-03-2020,30-09-2022,42353.26,11497.4,-2956.89,960,31-03-2021,31-12-2022,12727.75,40599.44,1151.01,2160.3,31-03-2023,31-03-2022,38075.83,13449.94,1350.45,3404.7,30-06-2023,31-03-2023,47647.72,14358.63,4022.94,1551.07,,,51878.49,52183.18,47931.68,47647.73,21.25,21.25,51325.58,50792.69,3882.09,4022.94,815555.61,826035.75,4260.82,4104.31,56328.64,54866.3,,,,,28236.95,22020.21,815555.61,826035.75,9950.13,9852.43,,,,,,,,,,,,,2134.33,2167.26,,,-7018.03,-5799.42,-548.35,-1345.02,-17.88,540.77,84683.28,84395.32,105.86,43417.78,15-09-2023,1.61,105.75,10,11.73,4103566070,-0.23,10,11.07,11.73,12.76,11.07,12.11,12.76,9.02,0.82,12.11,24024.05,9.01,0.82,1.81,0.58,23978.91,1.81,0.58
Bank Of Maharashtra,Before 1950,12-04-2004,MAHABANK,MAHABANK,,12-04-2004,,,,,6122627927,,6122627927,,100,,86.46,,86.46,,0,,31-03-2020,30-09-2022,11495.44,3815.06,388.58,535.06,31-03-2021,31-12-2022,4129.04,11868.54,775.03,550.25,31-03-2023,31-03-2022,13019.22,4495.41,840.04,1151.54,30-06-2023,31-03-2023,15898.46,4788.61,2602.03,882.08,,,17637.76,17637.91,16113.45,16113.3,2.62,2.62,16026.06,16156.5,2602.79,2602.04,267664.29,267840.09,6730.5,6730.5,9059.74,8879.76,,,,,7207.18,7192.79,267664.29,267840.09,2149.24,2149.21,,,,,,,,,,,,,1094.92,1094.92,,,-1439.93,-1437.74,-175.08,760.75,-710.07,227.94,18528.95,18528.91,45.09,31933.45,15-09-2023,1.14,45.1,10,4.09,7081373639,0.21,10,2.95,4.09,4.47,2.95,3.32,4.47,11.01,2.11,3.32,24166.66,11.01,2.11,1.32,1.6,24173.75,1.32,1.6
Banka Bioloo Ltd.,After 1991,27-02-2018,BANKA,,,,,,,,5986094,,5986094,0,100,,55.19,,55.19,,0,,31-03-2020,30-09-2022,47.87,10.26,6.23,0.87,31-03-2021,31-12-2022,10.49,30.46,1.3,2.21,31-03-2023,31-03-2022,38.63,12,0.44,3.06,30-06-2023,31-03-2023,42.14,8.11,3.08,-1.84,44.73,44.59,0.39,0.39,0.39,0.39,,,43.17,43.05,3.08,3.06,59.62,64.08,10.85,10.85,26.66,26.61,9.41,8.14,7.85,9.12,17.16,14.02,59.62,64.08,6.77,6.17,0.05,4.36,0.67,0.66,1.5,1.5,44.43,52.6,,,10.64,13.41,0.06,0.08,4.2,4.13,-0.43,,-6.68,,,0.95,0.32,,,79.78,15-09-2023,0.94,73.55,,,10846582,0.41,10,,0.94,,-0.09,,2.36,,,1.4,,78.21,2.06,,,91.69,0.87,15.33
Bannari Amman Spg. Mills Ltd.,Between 1986 and 1990,14-11-2005,BASML,BASML,,14-11-2005,,,,,35880124,,35880124,,100,,55.33,,55.33,,0,,31-03-2020,30-09-2022,924.97,253.44,0.2,-15.51,31-03-2021,31-12-2022,215.02,859.64,-14.21,-10.55,31-03-2023,31-03-2022,1285.43,334.44,-9.52,48.7,30-06-2023,31-03-2023,1095.14,205.74,-34.83,-6.12,1560.24,1285.42,4.25,5.7,0.71,1.09,,,1520.05,1253.88,56.2,48.7,1125.27,1323.7,71.9,32.42,420.04,411.18,373.75,330.74,232.46,261.96,458.01,350.93,1125.27,1323.7,598.72,532.56,3.19,28.84,71.93,75.2,7.61,7.82,472.2,605.59,,,213.97,306.6,0.07,0.07,19.57,11.67,56.03,47.33,-33.77,-22.99,-22.37,-21.06,18.66,10.75,49.43,320.09,15-09-2023,1.41,49.3,5,-7,64841871,-0.3,5,-6.21,-7,-2.34,-6.21,-0.66,-2.34,,0.8,-0.66,748.8,,0.8,0.43,4.85,747.96,0.43,4.84
Bannari Amman Sugars Ltd.,Between 1972 and 1985,24-05-1995,BANARISUG,BANARISUG,,07-01-1986,,,,,7360276,,7360276,,100,,58.7,,58.7,,,,31-03-2020,30-09-2022,1609.29,510.06,95.64,26.93,31-03-2021,31-12-2022,932.36,1562.76,40.85,92.14,31-03-2023,31-03-2022,1998.09,656.44,49.92,79.98,30-06-2023,31-03-2023,2525.58,430.86,143.39,13.59,,2526.45,35.81,,,35.29,0.04,,,2371.58,,143.39,2447.21,,,12.54,,1539.35,,309.41,157.48,,,585.91,2447.21,,,1078.57,,1.71,,79.16,,84.86,1179.69,,,,972.18,,0.19,,,6.11,,502.28,,-56.61,-442.83,,,5.68,2850.65,3580.24,15-09-2023,0.98,2859.6,10,131.21,12539700,0.11,10,,131.21,187.15,,,187.15,21.73,2.31,,4147.87,21.79,2.31,0.86,10.95,4159.09,0.86,10.98
Bansal Multiflex Ltd.,After 1991,12-07-2017,BANSAL,,17-01-2020,,,,,,5302800,,5302800,0,100,,71.56,,71.56,,0,,,,,,,,,,,,,,,31-03-2017,11.76,,,0.38,,31-03-2018,47.11,,1.47,,47.11,47.11,0.06,0.06,0.06,0.06,,,50.77,50.67,1.37,1.47,30.17,30.16,7.47,7.41,8.52,8.6,1.07,1.07,1,1,13.1,13.09,30.17,30.16,0.58,0.58,,0.26,0.02,0.02,0.06,,29.28,29.47,,,6.46,6.46,1.33,1.53,1.26,1.27,-6.02,-5.87,-0.22,-0.56,7.52,7.52,2.79,2.6,,1.44,09-12-2019,,1.95,,,7410000,,10,,,,,,,,,,,,0.09,,,5.02,0.29,1.69
Bansal Roofing Products Ltd.,After 1991,,,BRPL,,14-07-2014,,,,,9672878,,9672878,,100,,73.37,,73.37,,0,,31-03-2020,30-09-2022,41.04,22.12,2.24,1.18,31-03-2021,31-12-2022,22.43,41.5,0.88,2.25,31-03-2023,31-03-2022,72.59,24.58,1.39,3.94,30-06-2023,31-03-2023,93.26,28.93,4.17,1.15,,108.59,,,,,,,,103.41,,4.17,37.08,,,13.18,,10.87,,5.53,4.8,,,7.5,37.08,,,24.76,,,,0.13,,0.01,11.78,,,,7.75,,0.01,,,0.79,,8.61,,-6.7,-1.4,,,0.8,106.5,140.4,,0.49,,10,3.48,,1.09,,,,4.26,,,,30.59,5.57,,146.11,,,0.96,20.64,,,
Bansisons Tea Inds. Ltd.,Between 1986 and 1990,,,BANSTEA,,02-05-1994,,19-05-2004,24-05-2017,,1465700,,1465700,,100,,23.15,,23.15,,0,,31-03-2020,30-06-2022,0.15,0.04,-0.02,-0.02,31-03-2021,30-09-2022,0.04,0.15,0.02,0.08,31-12-2022,31-03-2022,0.15,0.04,0.02,0,31-03-2023,31-03-2023,0.15,0.04,0.01,-0.05,,0.15,0.03,,,0.03,,,,0.18,,0,6.21,,,6.19,,-0.12,,0.1,,,,0.04,6.21,,,5.1,,,,0.92,,0.02,0.17,,,,,,0.06,,,0.01,,-0.06,,0.03,,,,0.08,6.02,3.81,,1.32,,10,0.02,,1.36,,,,0.05,,,,381.07,0.61,,3.74,,,1.02,0,,,
Banswara Syntex Ltd.,Between 1972 and 1985,11-04-2007,BANSWRAS,BANSWRAS,,20-09-1993,,,,,19255633,,19255633,,100,,56.25,,56.25,,0,,31-03-2020,30-09-2022,1289.5,406.48,53.38,35.13,31-03-2021,31-12-2022,367.85,786.62,29.44,13.93,31-03-2023,31-03-2022,1189.77,368.97,27.82,46.74,30-06-2023,31-03-2023,1498.78,302.67,111.41,9.62,1498.77,1498.78,8.24,8.22,2.16,2.18,,,1442.1,1441.62,110.88,111.41,1090.66,1090.89,17.17,17.12,491.89,491.94,160.76,160.78,125.13,125.12,421.07,420.82,1090.66,1090.89,369.77,369.63,6.08,5.81,42.81,42.8,4.21,4.21,637.92,637.61,0.07,0.07,313.94,314.12,0.45,0.45,36.15,36.02,34.12,20.16,-113.48,-99.53,75.22,75.22,14.61,14.6,154.7,529.14,15-09-2023,1.58,154.45,5,28.51,34232084,0.35,5,29.01,28.51,40.62,29.01,41.12,40.62,5.43,1.04,41.12,879.34,5.42,1.04,0.6,4.12,878.48,0.6,4.11
Barak Valley Cements Ltd.,After 1991,23-11-2007,BVCL,BVCL,,23-11-2007,,,,,12359558,,12359558,,100,,55.77,,55.77,,0,,31-03-2020,30-09-2022,154.97,36.78,4.22,1.15,31-03-2021,31-12-2022,41.62,132.82,1.18,3.18,31-03-2023,31-03-2022,172.73,59.56,1.61,-4.27,30-06-2023,31-03-2023,174.46,54.49,5.8,3.36,175.71,172.73,0.31,0.57,0.57,0.27,,,193.83,183.98,-10.27,-4.27,202.25,233.96,22.16,22.16,85.8,65.44,58.48,58.9,44.84,44.27,67.52,55.75,202.25,233.96,146.81,120.24,0.13,12.63,15.04,9.11,,,59.94,71.32,,,19.95,24.51,0.08,0.27,3.29,1.62,-5.44,9.05,51.96,21.51,-29.76,-45.68,2.69,1.12,39.7,87.25,15-09-2023,1.23,39.05,10,3.29,22160000,-0.14,10,3.18,3.29,6.39,3.18,6.44,6.39,12.07,0.91,6.44,160.08,11.87,0.89,0.55,6.12,158.63,0.55,6.06
Barbeque-Nation Hospitality Ltd.,After 1991,07-04-2021,BARBEQUE,BARBEQUE,,07-04-2021,,,,,13170991,86113,13170991,,100,0.22,33.79,0.65,33.79,0.65,0,,31-03-2020,30-09-2022,787.05,271.69,-92.67,5.68,31-03-2021,31-12-2022,286.4,453.27,2.51,-70.29,31-03-2023,31-03-2022,761.05,239.94,-12.92,-21.5,30-06-2023,31-03-2023,1073.78,277.34,6.72,-8.23,1233.75,1073.83,8.78,7.03,5.66,8.78,,,1229.66,1084.78,19.15,6.72,1257.19,1268.15,27.73,19.49,381.65,409.52,627.35,632.68,570.81,607.47,231.42,195.5,1257.19,1268.15,1011.62,883.79,,70.84,48.75,136.59,2.29,2.29,90.4,122.43,,,39.1,42.07,0.96,1.16,41.4,17.05,227.61,184.18,-151.8,-127.01,-101.97,-118.59,42.56,18.01,690.45,2694.14,15-09-2023,1.21,691.2,5,-5.36,38998893,0.13,5,-2.67,-5.36,26.88,-2.67,35.11,26.88,,6.4,35.11,3311.58,,6.41,0.81,16.63,3314.5,0.81,16.65
Baroda Extrusion Ltd.,After 1991,,,BAROEXT,,04-07-1995,,08-08-2017,21-02-2018,,84960197,,84960197,,100,,57,,57,,0,,31-03-2020,30-09-2022,52.14,33.14,-15.61,-1.35,31-03-2021,31-12-2022,30.64,52.27,-2.7,-0.1,31-03-2023,31-03-2022,108.12,32.35,0.62,1.38,30-06-2023,31-03-2023,130.14,32.54,-3.42,-0.06,,130.17,0.01,,,0.01,,,,132.89,,-3.42,53,,,14.9,,-53.22,,73.7,53.04,,,17.62,53,,,1.72,,,,0.2,,20.42,25.42,,,,8.42,,0.01,,,0.49,,-2.29,,-0.23,2.87,,,0.5,3.09,46.06,,0.15,,1,-0.26,,1.22,,,,-0.25,,,,,,,99.16,,,0.46,0,,,
